IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,258,3.86
34.90.108.249,443,443,true,FRA,Europe,Frankfurt,267,3.86
34.116.207.140,443,443,true,FRA,Europe,Frankfurt,279,3.86
34.147.16.159,443,443,true,FRA,Europe,Frankfurt,274,3.84
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,264,3.83
34.32.182.114,443,443,true,FRA,Europe,Frankfurt,269,3.80
34.154.10.75,443,443,true,FRA,Europe,Frankfurt,261,3.78
34.107.117.187,443,443,true,FRA,Europe,Frankfurt,261,3.77
34.159.146.212,443,443,true,FRA,Europe,Frankfurt,253,3.76
34.32.215.26,443,443,true,FRA,Europe,Frankfurt,269,3.71
34.91.180.136,443,443,true,FRA,Europe,Frankfurt,269,3.69
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,250,3.68
34.159.55.124,443,443,true,FRA,Europe,Frankfurt,259,3.68
34.90.64.32,443,443,true,FRA,Europe,Frankfurt,267,3.67
34.105.233.161,443,443,true,LHR,Europe,London,215,3.66
34.65.43.234,443,443,true,FRA,Europe,Frankfurt,298,3.65
34.65.7.101,443,443,true,FRA,Europe,Frankfurt,269,3.63
34.154.67.215,443,443,true,FRA,Europe,Frankfurt,259,3.60
34.90.10.137,443,443,true,FRA,Europe,Frankfurt,267,3.60
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,261,3.59
35.198.190.148,443,443,true,FRA,Europe,Frankfurt,262,3.49
34.154.192.70,443,443,true,FRA,Europe,Frankfurt,259,3.48
34.159.126.244,443,443,true,FRA,Europe,Frankfurt,271,3.46
34.116.188.43,443,443,true,FRA,Europe,Frankfurt,288,3.46
34.65.73.241,443,443,true,FRA,Europe,Frankfurt,259,3.43
34.65.6.206,443,443,true,FRA,Europe,Frankfurt,262,3.42
34.65.204.215,443,443,true,FRA,Europe,Frankfurt,271,3.41
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,299,3.40
34.91.242.177,443,443,true,FRA,Europe,Frankfurt,258,3.40
34.90.64.32,443,443,true,FRA,Europe,Frankfurt,265,3.39
34.91.242.177,443,443,true,FRA,Europe,Frankfurt,276,3.38
34.118.57.203,443,443,true,FRA,Europe,Frankfurt,323,3.38
34.90.108.106,443,443,true,FRA,Europe,Frankfurt,272,3.37
34.118.6.177,443,443,true,FRA,Europe,Frankfurt,339,3.37
34.65.73.241,443,443,true,FRA,Europe,Frankfurt,259,3.35
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,259,3.34
34.65.204.215,443,443,true,FRA,Europe,Frankfurt,266,3.29
34.154.101.111,443,443,true,FRA,Europe,Frankfurt,256,3.27
34.141.35.238,443,443,true,FRA,Europe,Frankfurt,265,3.27
34.118.64.153,443,443,true,FRA,Europe,Frankfurt,344,3.25
34.159.54.249,443,443,true,FRA,Europe,Frankfurt,262,3.25
34.116.140.78,443,443,true,FRA,Europe,Frankfurt,289,3.24
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,269,3.21
34.118.1.28,443,443,true,FRA,Europe,Frankfurt,357,3.17
34.118.76.197,443,443,true,FRA,Europe,Frankfurt,280,3.15
34.90.64.32,443,443,true,FRA,Europe,Frankfurt,258,3.15
35.198.162.11,443,443,true,FRA,Europe,Frankfurt,260,3.15
34.32.251.7,443,443,true,FRA,Europe,Frankfurt,258,3.14
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,329,3.12
34.154.103.81,443,443,true,FRA,Europe,Frankfurt,250,3.10
34.154.62.186,443,443,true,FRA,Europe,Frankfurt,249,3.09
34.154.151.69,443,443,true,FRA,Europe,Frankfurt,268,3.09
